,0
2065,2.31
2066,2.5
2067,3.81
2068,2.0
2069,1.67
2070,2.92
2071,3.43
2072,3.0
2073,4.0
2074,3.5
2075,4.0
2076,0.0
2077,2.5
2078,2.69
2079,3.0
2080,2.92
2081,2.25
2082,3.75
2083,4.0
2084,4.0
2085,2.83
2086,3.0
2087,1.67
2088,4.0
2089,2.7
2090,3.4
2091,3.84
2092,3.6
2093,2.91
2094,4.0
2095,4.0
2096,4.0
2097,3.5
2098,0.0
2099,3.33
2100,1.33
2101,1.93
2102,4.0
2103,3.2
2104,2.8
2105,3.0
2106,4.0
2107,3.5
2108,2.0
2109,2.75
2110,4.0
2111,1.8
2112,2.64
2113,4.0
2114,2.79
2115,2.85
2116,2.0
2117,2.08
2118,2.0
2119,2.5
2120,1.33
2121,0.0
2122,3.0
2123,3.8
2124,3.4
2125,4.0
2126,2.33
2127,3.69
2128,2.75
2129,3.81
2130,3.25
2131,2.3
2132,0.4
2133,3.0
2134,3.6
2135,3.5
2136,3.5
2137,4.0
2138,4.0
2139,3.25
2140,0.0
